Dates,Within 6 Months,Within 12 Months,Within 24 Months,Recession
date,number,number,number,number
1999-08-01,0.02762085469934377,0.10409602412975955,0.33519220872644623,-1
1999-09-01,0.024928788332570197,0.10168073699106091,0.33817160534380797,-1
1999-10-01,0.024734868759491095,0.1124395383071308,0.36395501410638137,-1
1999-11-01,0.02929292332574674,0.147124472371704,0.417259850872708,-1
1999-12-01,0.02935158331744483,0.16089857426244358,0.45143272718386246,-1
2000-01-01,0.03429099490995127,0.1815905624220515,0.48518972543517436,-1
2000-02-01,0.03820923487645747,0.20004809755130581,0.5123435011692515,-1
2000-03-01,0.04084193172543262,0.22144126045022625,0.543929169732911,-1
2000-04-01,0.056709362289827175,0.2657306898585297,0.585496801083352,-1
2000-05-01,0.07699586629012407,0.3202532834447679,0.6303434325735713,-1
2000-06-01,0.07877155745093381,0.3308714591041592,0.6480177185042504,-1
2000-07-01,0.09258855181227904,0.35764964449562536,0.6686041774188324,-1
2000-08-01,0.10128552164465676,0.3846577651348658,0.6899442851334423,-1
2000-09-01,0.15480627914819262,0.4510364349248238,0.7242029856028688,-1
2000-10-01,0.20091598476604328,0.4930099237501232,0.7447418030787831,-1
2000-11-01,0.2960010529022842,0.5489575109644415,0.7667271346869831,-1
2000-12-01,0.3718086295756975,0.585094239297026,0.7784582048568736,-1
2001-01-01,0.3891056595981251,0.5901484694860117,0.7761573214778659,-1
2001-02-01,0.39660283608819313,0.5618237784502663,0.7448634321323315,-1
2001-03-01,0.47893485463889274,0.5857715788461009,0.7422192626583439,100
2001-04-01,0.5207804414595304,0.5862042538591958,0.729221416005214,100
2001-05-01,0.5327120505057377,0.5614726053654597,0.6975698844211575,100
2001-06-01,0.5488934972604551,0.5252127136000858,0.6477940828031009,100
2001-07-01,0.5821766328040032,0.5138459634353074,0.6205874734770128,100
2001-08-01,0.6256893797524532,0.5187424780811095,0.6095722838826405,100
2001-09-01,0.6658115255807233,0.5250047800451616,0.5997908915414101,100
2001-10-01,0.6808243145578179,0.5009072801698663,0.564054236373636,100
2001-11-01,0.6666551505917138,0.4572955573613873,0.5138363109380484,100
2001-12-01,0.6502295145562805,0.41777980713142704,0.4678642840837985,-1
2002-01-01,0.6151501446314048,0.38111220456729944,0.4281151360521992,-1
